words,tags
"Số_lượng nguyên_liệu được ghi trên hoá_đơn do bên bán xuất 1.000 kg , số_lượng nguyên_liệu thực nhập kho 950 kg .",O O O O O B-VOUCHER_TYPE O O O O O O O O O O O O O O O
"Công_ty TNHH Hải_Long tính thuế GTGT theo phương_pháp khấu_trừ , có một_số nghiệp_vụ phát_sinh như sau :",O O O O B-TAX_TYPE I-TAX_TYPE O O O O O O O O O O O
Năm thứ : 4 ; Cách tính số khấu_hao TSCĐ hàng năm : 2.160.000 : 2,O O O O O O O O O O O O O B-MONEY O O
"Lưu_ý : Với hoá_đơn phát_hành theo mẫu Xăng_dầu - chuyển bảng tổng_hợp dữ_liệu hoá_đơn điện_tử lên cơ_quan thuế , khi phát_hiện có sai_sót chỉ có_thể điều_chỉnh , không_thể huỷ hoặc lập hoá_đơn thay_thế .",O O O B-VOUCHER_TYPE O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O O O O O O O B-VOUCHER_TYPE O O
Chương_trình đáp_ứng thông_qua 1 trong 2 cách sau :,O O O O O O O O O
Lưu_ý : Có_thể thiết_lập nội_dung email Gửi biên_bản huỷ hoá_đơn cho khách_hàng theo nhu_cầu .,O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O
2 ký_tự tiếp_theo là hai ( 02 ),O O O O O O O O
Quy_trình nghiệp_vụ hoá_đơn điện_tử theo Nghị_định 123/2020/NĐ-CP,O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O
Trường_hợp sử_dụng chữ_ký số eSign với lần ký số đầu_tiên chương_trình yêu_cầu nhập mã xác_thực ký số :,O O O O O O O O O O O O O O O O O O
Sản_lượng theo công_suất thiết_kế sử_dụng ước_tính của máy_ủi này là 2.400.000 m3 .,O O O O O O O O O O O O O
Mua hàng nhập_khẩu nhập kho,O O O O O
Lập chứng_từ mua hàng từ lệnh sản_xuất,O O O O O O O
"Trường_hợp khi thực_hiện Phát_hành hoá_đơn điện_tử , Kế_toán không tích chọn tuỳ chọn Gửi hoá_đơn cho khách_hàng thì sau khi phát_hành hoá_đơn điện_tử , có_thể gửi hoá_đơn cho khách_hàng bằng 1 trong 2 cách : Gửi hoá_đơn cho từng khách_hàng hoặc Gửi hoá_đơn cho hàng_loạt khách_hàng .",O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O B-VOUCHER_TYPE O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O B-VOUCHER_TYPE O O O O O O O O O B-VOUCHER_TYPE O O O O O B-VOUCHER_TYPE O O O O
Đối_với đơn_vị tính thuế GTGT theo phương_pháp trực_tiếp,O O O B-TAX_TYPE I-TAX_TYPE O O O
"Vào phân hệ Hoá_đơn điện_tử \ tab Quy_trình , nhấn Báo_cáo .",O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O
"Mua 12.000 kg vật_liệu Z , đơn_giá đã có thuế 58.300 đồng , chưa thanh_toán .",O O O O O O O O O O B-MONEY I-MONEY O O O O
"Sao_chép dữ_liệu thành dữ_liệu mới và chuyển_đổi lên phiên_bản mới : Nếu tích chọn , chương_trình sẽ không chuyển thẳng dữ_liệu đang làm_việc lên phiên_bản mới mà sao_chép dữ_liệu này thành 1 dữ_liệu mới riêng_biệt .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Khi phát_sinh nhu_cầu huỷ hoá_đơn , thường sẽ phát_sinh các hoạt_động sau :",O O O O B-VOUCHER_TYPE O O O O O O O O
"Ngày 4/9 , Kế_toán chuyển tiền cho Công_ty cổ_phần Hoa_Mai 200.000.000 đồng , Ngân_hàng đã có Giấy_báo Nợ số BN 400 .",B-DATE I-DATE O O O O O O O O B-MONEY I-MONEY O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O
"Nhân_viên mua hàng nhận hàng , đồng_thời yêu_cầu kế_toán làm thủ_tục nhập kho hoặc đưa vào sử_dụng ngay .",O O O O O O O O O O O O O O O O O O O
"Cấp số hoá_đơn : Kế_toán thiết_lập các thông_tin Mẫu_số hoá_đơn , Ký_hiệu hoá_đơn , Ngày hoá_đơn cho từng hoá_đơn .",O O O O O O O O O B-VOUCHER_TYPE O O B-VOUCHER_TYPE O O B-VOUCHER_TYPE O O B-VOUCHER_TYPE O
"Xuất vật_tư D để sửa_chữa_nhỏ tài_sản_cố_định : có trị_giá 6.000.000 đồng cho phân_xưởng sản_xuất , 8.000.000 đồng cho bộ_phận bán hàng và 10.000.000 đồng cho bộ_phận quản_lý doanh_nghiệp .",O O O O O O O O O B-MONEY I-MONEY O O O O B-MONEY I-MONEY O O O O O B-MONEY I-MONEY O O O O O
"Vào phân hệ Kho , chọn Nhập kho ( hoặc vào tab Nhập , xuất kho , nhấn Thêm \ Nhập kho ) .",O O O O O O O O O O O O O O O O O O O O O O O O
"Việc áp_dụng phiếu xuất kho kiêm vận_chuyển nội_bộ , phiếu xuất kho hàng gửi bán đại_lý đối_với một_số trường_hợp cụ_thể như sau theo Nghị_định 123/2020/NĐ-CP",O O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O O O O
Kế_toán thanh_toán lập Phiếu thu .,O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O
Nếu không sử_dụng phần_mềm để quản_lý việc xuất hoá_đơn : Nhập trực_tiếp thông_tin hoá_đơn GTGT tại tab Hoá_đơn .,O O O O O O O O B-VOUCHER_TYPE O O O O B-VOUCHER_TYPE B-TAX_TYPE O O B-VOUCHER_TYPE O
"Nếu đã thiết_lập email gửi chứng_từ , báo_cáo thì có_thể sao_chép thiết_lập này để thiết_lập gửi email hoá_đơn điện_tử như sau :",O O O O O O O O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O
"Lập Quyết_định áp_dụng hoá_đơn điện_tử : In ra giấy , sau đó ký và đóng_dấu .",O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O O
Tích chọn Giảm giá_trị hàng nhập kho,O O O O O O O
Với các phiếu xuất kho đang ghi sổ : Bỏ ghi sổ và không cho_phép ghi sổ lại .,O O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O O O O O
Nâng_cấp nhanh_chóng qua mạng Internet ( Live_Update ) lên phiên_bản mới nhất hiện có theo hướng_dẫn tại đây .,O O O O O O O O O O O O O O O O O O O
Chọn chứng_từ mua hàng có hàng mua cần trả lại theo một trong hai cách sau :,O O O O O O O O O O O O O O O O O
Cộng : Bộ_phận sản_xuất điện : 280.000.000 đồng ; Bộ_phận vận_chuyển : 220.000.000 đồng .,O O O O O O B-MONEY I-MONEY O O O O B-MONEY I-MONEY O
"Cuối tháng công_ty hoàn_thành nhập kho 4.600 sản_phẩm , còn dở_dang 400 sản_phẩm .",O O O O O O O O O O O O O O
Các chi_phí khác đã thanh_toán bằng tiền_mặt : 500.000.000 đồng .,O O O O O O O O B-MONEY I-MONEY O
"Hàng ngày kế_toán thanh_toán sẽ ra ngân_hàng để lấy sổ phụ ngân_hàng ( bảng sao kê các giao_dịch , giấy_báo Nợ , giấy_báo Có ) .",O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O B-VOUCHER_TYPE I-VOUCHER_TYPE O B-VOUCHER_TYPE I-VOUCHER_TYPE O O
Xem chi_tiết hướng_dẫn tại đây,O O O O O
"Cuối tháng nhập kho Phân_xưởng 1 : 200 cọc tròn , Phân_xưởng 2 : 180 cọc vuông .",O O O O O O O O O O O O O O O O O O
"Ngày 24/9 , Công_ty cổ_phần Hà_Thanh nhận hàng :",B-DATE I-DATE O O O O O O O
Ứng trước tiền cho đơn_vị nhận uỷ_thác nhập_khẩu .,O O O O O O O O O
"Khai_báo mức thuế_suất 10% và các giá_trị liên_quan thay_đổi khi mức thuế_suất tăng gồm : Tiền thuế GTGT , Tổng tiền thanh_toán .",O O O B-TAX_RATE O O O O O O O O O O O O B-TAX_TYPE I-TAX_TYPE O O O O O
"Trong tháng 5/2020 , Công_ty C & AE xuất kho thành_phẩm A để đổi lấy vật_tư B với giá_vốn xuất kho là 300.000.000 đồng , giá thanh_toán cả thuế GTGT 10% là 440.000.000 đồng .",O B-DATE I-DATE O O O O O O O O O O O O O O O O O O O B-MONEY I-MONEY O O O O B-TAX_TYPE I-TAX_TYPE B-TAX_RATE O B-MONEY I-MONEY O
Có_thể giảm thông_số Độ nét để logo không che mất thông_tin của hoá_đơn .,O O O O O O O O O O O O B-VOUCHER_TYPE O
"Chi_phí gia_công phát_sinh 25.000.000 đồng ( chưa tính 10% thuế GTGT ) , chưa thanh_toán .",O O O B-MONEY I-MONEY O O O B-TAX_RATE B-TAX_TYPE I-TAX_TYPE O O O O O
"Ngày 01 tháng 1 năm 2018 , công_ty A ký hợp_đồng thuê thiết_bị của Công_ty TNHH B trong 3 năm .",B-DATE I-DATE I-DATE I-DATE I-DATE I-DATE O O O O O O O O O O O O O O O
"Căn_cứ vào phiếu nhập kho , thủ_kho kiểm , nhận hàng và ký vào phiếu nhập kho .",O O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O
Chỉ_tiêu : Chi_phí thực_tế đến năm : Năm 2015 : 4.050.000.000 đ,O O O O O O O B-DATE I-DATE O B-MONEY I-MONEY
Còn thanh_toán kế_toán tiền_mặt sẽ căn_cứ vào Phiếu chi có chữ_ký của thủ .,O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O
Kết_nối phần_mềm hoá_đơn điện_tử MISA meInvoice .,O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O
Điều_chỉnh thông_tin hoá_đơn,O O B-VOUCHER_TYPE
Xuất thiết_bị cần lắp có giá_trị 2.000.000.000 đồng cho công_trình xây_dựng .,O O O O O O B-MONEY I-MONEY O O O O
"Xuất kho nguyên_vật_liệu để trực_tiếp sản_xuất các sản_phẩm A , B , C , D , E lần_lượt là 1.500.000.000 đồng , 1.600.000.000 đồng , 1.700.000.000 đồng , 1.800.000.000 đồng , 1.900.000.000 đồng .",O O O O O O O O O O O O O O O O O O O B-MONEY I-MONEY O B-MONEY I-MONEY O B-MONEY I-MONEY O B-MONEY I-MONEY O B-MONEY I-MONEY O
Giúp lấy được các Chứng_từ đã lập trên phần_mềm quản_lý cửa_hàng quần_áo sang phần_mềm kế_toán để hạch_toán_kế_toán mà không mất_công nhập liệu lại .,O O O O O O O O O O O O O O O O O O O O O O O O
"Xem chi_tiết đối_tượng áp_dụng với từng hình_thức hoá_đơn Tại đây ( Đơn_vị cũng có_thể xác_định dựa vào thông_báo của Chi_cục thuế , gửi qua email ) .",O O O O O O O B-VOUCHER_TYPE O O O O O O O O O O O O O O O O O O O
"M xuất sản_phẩm và lập hoá_đơn GTGT giao cho N : trị_giá xuất kho 5.000.000.000 đồng , trị_giá bán chưa có thuế GTGT 6.200.000.000 đồng .",O O O O O B-VOUCHER_TYPE B-TAX_TYPE O O O O O O O B-MONEY I-MONEY O O O O O B-TAX_TYPE I-TAX_TYPE B-MONEY I-MONEY O
VEMAYBAY _ PHIKHAC,O O O
Cột_Số phân_bổ lần này QĐ phản_ảnh số tiền phân_bổ theo đồng_tiền hạch_toán hoặc được quy_đổi ra đồng_tiền hạch_toán .,O O O O O O O O O O O O O O O O O O O
Kế_toán thanh_toán tiền_mặt căn_cứ vào Phiếu thu có chữ_ký của thủ_quỹ và người nộp tiền để ghi số kể toán tiền_mặt .,O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O
"Có TK 112 : Tiền gửi ngân_hàng ( 1121 , 1122 )",O B-ACCOUNT_NUMBER I-ACCOUNT_NUMBER O B-ACCOUNT_NAME I-ACCOUNT_NAME I-ACCOUNT_NAME O B-ACCOUNT_NUMBER O B-ACCOUNT_NUMBER O
"Ngày 8/9 xuất vật_liệu cho Phân_xưởng 2 : 120 tấn xi-măng , 550 m3 cát , 18 tấn sắt và phụ_gia bê-tổng 15 lít .",B-DATE I-DATE O O O O O O O O O O O O O O O O O O O O O O O
Thực_hiện tương_tự hướng_dẫn tại đây .,O O O O O O
"Khi đó , doanh_nghiệp cần thực_hiện huỷ các hoá_đơn điện_tử chưa sử_dụng đã thông_báo phát_hành theo quy_định cũ trước khi phát_hành hoá_đơn theo nghị_định 123/2020/NĐ-CP",O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O O B-VOUCHER_TYPE O O O
Điều_chỉnh giảm Đơn_giá hàng_hoá,O O O O
Lãi_suất của trái_phiếu tươgn tự không được chuyển_đổi là 15% / năm .,O O O O O O O O O B-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE
Tiền thuê tài_sản_cố_định này được thanh_toán hàng quý là 50.000.000 đồng ( chưa bao_gồm 10% thuế GTGT ) .,O O B-ACCOUNT_NAME O O O O O O B-MONEY I-MONEY O O O B-TAX_RATE B-TAX_TYPE I-TAX_TYPE O O
Tích chọn các chứng_từ thanh_toán được đối trừ cho các chứng_từ công_nợ .,O O O O O O O O O O O O O
"Sắt 10 tấn , đơn_giá trước thuế GTGT 15.000.000 đồng / tấn .",O O O O O O B-TAX_TYPE I-TAX_TYPE B-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE O
Hướng_dẫn lập bảng tổng_hợp dữ_liệu hoá_đơn điện_tử gửi cơ_quan thuế theo quy_định tại Nghị_định 123/2020/NĐ-CP.,O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O
Chương_trình tự_động lấy các thông_tin liên_quan trên hợp_đồng mua sang chứng_từ mua hàng .,O O O O O O O B-VOUCHER_TYPE O O O O O O
Ngày 07/6 : Mua nguyên_vật_liệu nhập kho trị_giá 60.000.000 đồng chưa trả tiền cho người bán .,B-DATE I-DATE O O O O O O B-MONEY I-MONEY O O O O O O O
Kế_toán có_thể phát_hành hoá_đơn điện_tử theo 1 trong 2 cách :,O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O
Phát_hành hàng_loạt hoá_đơn điện_tử trên phân hệ Hoá_đơn điện_tử,O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O B-VOUCHER_TYPE I-VOUCHER_TYPE
"Vào phân hệ Bán hàng , chọn Hoá_đơn ( hoặc chọn tab Xuất hoá_đơn , nhấn Thêm ) .",O O O O O O O B-VOUCHER_TYPE O O O O O B-VOUCHER_TYPE O O O O O
Nhấn_Thêm và khai_báo chứng_từ bán hàng .,O O O O O O O
"Trước khi lập chứng_từ bán hàng ghi_nhận doanh_thu phí uỷ_thác nhập_khẩu , Kế_toán cần phải khai_báo một hàng_hoá là Phí uỷ_thác có tính_chất là Dịch_vụ trên danh_mục Vật_tư hàng_hoá .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Sau khi kết_nối thành_công , đơn_vị mới có_thể thực_hiện được các chức_năng của phân hệ hoá_đơn điện_tử trên phần_mềm .",O O O O O O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O
Nhập Lý_do huỷ,O O O
"Khi thu tiền khách_hàng xong , phần_mềm tự_động giảm trừ công_nợ của khách_hàng theo từng hoá_đơn .",O O O O O O O O O O O O O O O B-VOUCHER_TYPE O
Tích chọn các hoá_đơn muốn lập thông_báo .,O O O B-VOUCHER_TYPE O O O O
"Vào phân hệ Mua hàng , chọn Đối trừ chứng_từ ( hoặc vào menu Nghiệp_vụ \ Mua hàng \ Đối trừ chứng_từ ) .",O O O O O O O O O O O O O O O O O O O O O O O O
"Trên phân hệ Mua hàng , chọn Chứng_từ mua hàng_hoá ( hoặc vào tab Mua hàng_hoá , dịch_vụ , nhấn Thêm \ Chứng_từ mua hàng_hoá ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
Số_lượng thành_phẩm nhập kho tương_ứng : 1.800.000.000 đồng và 1.300.000.000 đồng .,O O O O O O B-MONEY I-MONEY O B-MONEY I-MONEY O
Số 4 : Phản_ánh loại hoá_đơn điện_tử bán hàng dự_trữ quốc_gia ;,O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O
"Lưu_ý : Trước khi thực_hiện nâng_cấp / cài_đặt lên SME 2023 , người dùng cần thực_hiện bước mua hàng để chuyển_đổi giấy_phép sử_dụng lên SME 2023 theo chính_sách giá .",O O O O O O O O O O B-DATE O O O O O O O O O O O O O O B-DATE O O O O
Nếu chọn Hạch_toán cộng gộp : Các dòng hàng trên hoá_đơn điện_tử sẽ được hạch_toán gộp vào một dòng trên chứng_từ nhập_khẩu .,O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O O
Tháng 12/2018 Ban lãnh_đạo Công_ty đã họp và ra quyết_định cần phải dự_phòng khoản bồi_thường để nếu thua kiện có nguồn để bồi_thường .,B-DATE I-DATE O O O O O O O O O O O O O O O O O O O O O O
"Các khoản chi chung khác ( đã phân_bổ ) đã chi tiền 20.000.000 đồng , chi_phí khấu_hao phục_vụ sửa_chữa là 45.000.000 đồng .",O O O O O O O O O O O O B-MONEY I-MONEY O O O O O O B-MONEY I-MONEY O
Năm thứ : 2 ; Khấu_hao luỹ kế cuối năm : 6.400.000 đồng,O O O O O O O O O O O B-MONEY I-MONEY
Tính tiền_lương phải trả cho công_nhân sản_xuất là 272.520.000 đồng ; nhân_viên quản_đốc 121.870.000 đồng ; nhân_viên bán hàng 99.000.000 đồng ; cán_bộ quản_lý doanh_nghiệp 101.000.000 đồng .,O O O O O O O O B-MONEY I-MONEY O O O B-MONEY I-MONEY O O O O B-MONEY I-MONEY O O O O B-MONEY I-MONEY O
"Nhấn_Đối trừ , sau đó nhấn Đóng .",O O O O O O O O
Chi_phí_sản_xuất chung : 150.000.000 đồng .,O O O B-MONEY I-MONEY O
Công_ty và nhà_cung_cấp sẽ thoả_thuận với nhau và lập biên_bản về việc trả lại hàng .,O O O O O O O O O O O O O O O O
Hoá_đơn điều_chỉnh giảm đơn_giá hàng_hoá hiển_thị các thông_tin điều_chỉnh tương_ứng .,B-VOUCHER_TYPE O O O O O O O O O O
Chương_trình sẽ lấy lên danh_sách các khoản thuế phải nộp tính đến ngày nộp thuế .,O O O O O O O O O O O O O O O O
"Chọn vai_trò muốn phân_quyền sử_dụng nghiệp_vụ Hoá_đơn điện_tử , nhấn Phân_quyền .",O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O
Chứng_từ bán hàng,O O O
Chọn nội_dung thanh_toán là Trả các khoản vay .,O O O O O O O O O
"Trường_hợp hoá_đơn đã được gửi cho khách_hàng trước đó , chương_trình sẽ tự_động tích chọn ô Đã gửi cho khách_hàng .",O B-VOUCHER_TYPE O O O O O O O O O O O O O O O O O O O
Chương_trình sẽ tự_động phân_bổ chi mua hàng vào giá_trị hàng nhập_khẩu trên tab Hàng tiền .,O O O O O O O O O O O O O O O O
Bảng tổng_hợp dữ_liệu hoá_đơn điện_tử dành cho doanh_nghiệp kinh_doanh khác lĩnh_vực Xăng_dầu,O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O
"Nếu người dùng muốn tự nhập số_liệu , bỏ tích chọn Tự_động tính_toán số tiền theo công_thức .",O O O O O O O O O O O O O O O O O O
"Hoá_đơn điện_tử đã phát_hành theo NĐ51 , phát_hiện sai_sót khi đang sử_dụng hoá_đơn điện_tử theo NĐ123",B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O
Xem hướng_dẫn chi_tiết cách lập tờ khai đăng_ký / thay_đổi thông_tin sử_dụng hoá_đơn điện_tử không có mã Tại đây .,O O O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O
"Thiết_lập điều_kiện tìm_kiếm hoá_đơn đã huỷ cần lập hoá_đơn thay_thế , nhấn Lấy dữ_liệu .",O O O B-VOUCHER_TYPE O O O O B-VOUCHER_TYPE O O O O O O
Năm thứ : 4 ; Giá_trị còn lại của TSCĐ : 2.160.000 đồng,O O O O O O O O O O O B-MONEY I-MONEY
"Từ MISA SME 2022 - phiên_bản R 11 : Chương_trình đáp_ứng cho các doanh_nghiệp đã phát_hành hoá_đơn điện_tử áp_dụng NQ4 3/2022 / QH 15 trên phần_mềm khác , căn_cứ vào đó để hạch_toán và ghi_nhận doanh_thu bán hàng trên MISA SME .",O O O B-DATE O O O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O O O O O O O O O O O O O O O
"Sau khi khai_báo xong chứng_từ , nhấn Cất .",O O O O O O O O O
"Tại cột TK thuế NK , TK thuế TTĐB , tài_khoản thuế GTGT : Sửa các tài_khoản thuế thành TK 331 .",O O O B-TAX_TYPE I-TAX_TYPE O O B-TAX_TYPE I-TAX_TYPE O O B-TAX_TYPE I-TAX_TYPE O O O O O O B-ACCOUNT_NUMBER I-ACCOUNT_NUMBER O
Hoặc vào menu Hệ_thống \ Thiết_lập ký số,O O O O O O O O
Số phát_sinh trong tháng .,O O O O O
"Tài_sản_cố_định có nguyên giá 2.500.000.000 đồng , đã khấu_hao 500.000.000 đồng , bán với giá 1.900.000.000 đồng ( chưa gồm 10% thuế GTGT ) , chưa thu tiền .",B-ACCOUNT_NAME O O O B-MONEY I-MONEY O O O B-MONEY I-MONEY O O O O B-MONEY I-MONEY O O O B-TAX_RATE B-TAX_TYPE I-TAX_TYPE O O O O O O
"Ngày 30/07 : Thanh_toán chi_phí tiền điện , tiền nước cho phân_xưởng sản_xuất 5.000.000 đồng_bằng tiền_mặt .",B-DATE I-DATE O O O O O O O O O O O B-MONEY O O O
"Trường_hợp sử_dụng USB Token : Lựa_chọn chứng_thư số trên USB Token và nhấn OK , chương_trình đồng_thời cấp số hoá_đơn và phát_hành hoá_đơn điện_tử .",O O O O O O O O O O O O O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O
Chỉ những chứng_từ đã được Đánh_dấu chuyển thì mới có_thể lấy sang phần_mềm kế_toán,O O O O O O O O O O O O O O
"Tổng vốn vay dài_hạn để đầu_tư xây_dựng nhà_máy sản_xuất thép phát_sinh trong năm 2018 được xác_định là 10.000.000.000 đồng , trong đó :",O O O O O O O O O O O O B-DATE I-DATE O O O B-MONEY I-MONEY O O O O
Lưu_ý : Hình_thức nhập_khẩu này chỉ thực_hiện được với hoá_đơn của Nhà_cung_cấp .,O O O O O O O O O B-VOUCHER_TYPE O O O
"Với mã hàng không có trên hoá_đơn gốc , kế_toán không chọn được mã quy_cách cho các mã hàng này .",O O O O O O B-VOUCHER_TYPE O O O O O O O O O O O O O O
"Hoặc có_thể gửi thông_báo sau bằng cách vào phân hệ Quản_lý hoá_đơn \ tab Xoá hoá_đơn , chọn chứng_từ xoá hoá_đơn , nhấn chuột phải và chọn Gửi thông_báo xoá .",O O O O O O O O O O O B-VOUCHER_TYPE O O O B-VOUCHER_TYPE O O O O B-VOUCHER_TYPE O O O O O O O O O O
Xuất thiết_bị xây_dựng_cơ_bản E có trị_giá giá 500.000.000 đồng để lắp_ráp vào toà nhà đang được doanh_nghiệp xây_dựng .,O O O O O O O B-MONEY I-MONEY O O O O O O O O O O
Thiết_lập kết_nối SInvoice,O O O
"Khai_báo thêm các thông_tin trên chứng_từ mua hàng như : nhà_cung_cấp , số_lượng , đơn_giá , ...",O O O O O O O O O O O O O O O O O
Khoản mục Thu nợ khách_hàng : lấy bằng Số tiền trên các chứng_từ phát_sinh công_nợ 131 và Số còn phải thu = Giá_trị thanh_lý - Thực_thu của các hợp_đồng bán ( có_hạn thanh_toán / ngày chứng_từ trước ngày cuối kỳ báo_cáo ),O O O O O O O O O O O O O O O B-ACCOUNT_NUMBER O O O O O O O O O O O O B-VOUCHER_TYPE O O O O O O O O O O O O O
Có TK 151 Hàng mua đang đi đường,O B-ACCOUNT_NUMBER I-ACCOUNT_NUMBER B-ACCOUNT_NAME I-ACCOUNT_NAME I-ACCOUNT_NAME I-ACCOUNT_NAME I-ACCOUNT_NAME
Thực_hiện các bước còn lại tương_tự như gửi báo_cáo chứng_từ qua Zalo .,O O O O O O O O O O O O O
"Đã cấp mã : cơ_quan thuế chấp_nhận yêu_cầu cấp mã , hoá_đơn được cấp mã thành_công , có giá_trị và có_thể gửi được cho khách_hàng .",O O O O O O O O O O O B-VOUCHER_TYPE O O O O O O O O O O O O O O
Giúp thiết_lập cách_thức lập và gửi hoá_đơn áp_dụng theo Nghị_định 51/2010/NĐ-CP lên EasyInvoice,O O O O O O B-VOUCHER_TYPE O O O O O O
Xoá hoá_đơn đã phát_hành trên SInvoice và lập hoá_đơn thay_thế,O B-VOUCHER_TYPE O O O O O O B-VOUCHER_TYPE O
